10126492459843226082_194748235	rb_02_en0008_p01_d_scenario02.bytes	990836
10128920823377164736_768572690	rb_02_en0006_p01_d_scenario01_nodelayer.bytes	15040
10208646925099257802_2031956405	8443301_01_s3_01_schale_p01_scenario.bytes	2949
10508793754200446274_800285696	rb_02_binah_p01_d_scenario.bytes	823288
10574234224707093126_2105420255	400050118_s3_01_rb_02_en0006_p01_d_scenario01.bytes	4087
10627096113269287586_1032008006	270301_worldraid_en0020_street_scenario_start2phase.bytes	6333
10801870768369287090_2877417202	rb_02_binah_p01_d_scenario_nodelayer.bytes	18496
11033906853979439658_918726958	400010339_s3_02_en0008_p01_d_scenario01.bytes	3318
1135095554448124631_2863619728	400010336_s3_02_en0008_p01_d_scenario02.bytes	2840
12056688516613450830_2290347440	sb_03_trinitychurch_p01_n_scenario.bytes	754400
1251795478736651899_417260566	400050120_s3_01_rb_02_en0006_p01_d_scenario01.bytes	3842
12552755968392355289_2139566679	rb_03_hieronymus_p01_d_scenario_2.bytes	889060
13398390916966574027_3245783669	rb_03_hieronymus_p01_d_scenario.bytes	889060
13856212391497941018_2545043387	8334307_01_03_school_p01_d_story.bytes	8109
13988258909499140604_3276174881	rb_02_en0008_p01_d_scenario01.bytes	822112
14647912243327621878_2300540278	rb_02_en0008_p01_d_scenario02_nodelayer.bytes	22524
14764328455223856128_2874123602	400060305_s1_03_hieronymus_p01_d_scenario01.bytes	4934
16066775590139801068_3185069564	401000215_01_s3_03_hieronymus_p01_d_scenario_2.bytes	4694
16244003148895641294_898974678	sb_03_school_p01_d_story.bytes	836500
16266226196536135190_166011774	rb_03_hieronymus_p01_d_scenario_nodelayer.bytes	19752
16300795542385574620_4128271700	characterdialogemojiexceltable.bytes	11224
16300795542385574620_4128271700	characterdialogfieldexceltable.bytes	183096
16300795542385574620_4128271700	fieldstorystageexceltable.bytes	12664
16300795542385574620_4128271700	localizeccgexceltable.bytes	140092
16300795542385574620_4128271700	localizeetcexceltable.bytes	1118896
16300795542385574620_4128271700	localizefieldexceltable.bytes	39432
16300795542385574620_4128271700	localizekeymappingexceltable.bytes	4456
16300795542385574620_4128271700	localizesnsexceltable.bytes	3124
16300795542385574620_4128271700	minigamedreamcollectionscenarioexceltable.bytes	1096
16300795542385574620_4128271700	scenarioreplayexceltable.bytes	4384
16300795542385574620_4128271700	scenarioresourceinfoexceltable.bytes	2288
16300795542385574620_4128271700	scenarioscriptfield1exceltable.bytes	475272
16641332357143156175_4276847657	270301_worldraid_en0020_street_v01_scenario.bytes	37511
16831501588143809264_378776166	400060303_s1_03_hieronymus_p01_d_scenario01.bytes	1825
17001064684666740368_1418536455	sb_03_underground_p01_n_scenario.bytes	1349192
17185804037354063946_2476581590	sb_03_trinitychurch_p01_n_scenario_nodelayer.bytes	17176
17924405981711192028_1498160283	rb_03_chesed_p01_d_scenario.bytes	1244252
17932541498652782880_4071079313	270301_worldraid_en0020_street_scenario.bytes	11816
3041284869061018635_3165216273	rb_03_chesed_p01_d_scenario_nodelayer.bytes	28224
3152370782941368777_3453525187	sb_01_schale_p01_scenario_nodelayer.bytes	80656
3221847235107924948_1801883198	en0011_scenariotemp.bytes	14876
5681846881984034646_1205077894	chesedscenariotest.bytes	878
6275497673431309398_1915708526	9938_ch0309_story_test.bytes	11576
6342030175879416904_2237560002	rb_02_en0008_p01_d_scenario01_nodelayer.bytes	18624
6723093585110813093_2723063546	rb_02_en0006_p01_d_scenario01.bytes	677992
7305034778953511186_691186273	en0006_storytest.bytes	2002
7907542019953897795_4103731301	sb_03_school_p01_d_story_nodelayer.bytes	19048
8096923742589028906_2683815145	sb_01_schale_p01_scenario.bytes	3545188
9417025269956804843_2704210705	sb_03_underground_p01_n_scenario_nodelayer.bytes	30692
9469145922516746524_1903311647	rb_03_hieronymus_p01_d_scenario_2_nodelayer.bytes	19752
9525948173773304377_2134095779	270301_worldraid_en0020_street_scenario_start3phase.bytes	1447
9831635374824745190_1758483698	400010335_s3_02_en0008_p01_d_scenario02.bytes	4967
