10001900114910089910_1704857403	8322306_01_02_forestriver_p01_d.bytes	7677	1646
10002846208445144650_2775947407	401000305_s3_02_excavation_p01_d.bytes	5966	1214
1000752552535803513_1301407292	8341303_01_03_gehennapartyhall_p01_d.bytes	6660	1410
10010613261365503650_1671056450	6063105_eliminateraid_perorozilla_indoor_light_extreme_start3phase.bytes	9579	1321
1001233772205200960_815376192	8462301_01_sb_02_cargostation_p01_d.bytes	8023	1798
10012417062314807953_3646696591	6073202_eliminateraid_hod_indoor_heavy_hard_start3phase.bytes	1568	667
1001324828320313601_2469282654	400010326_s3_02_valleyofsp_p01_d.bytes	2199	801
10014565380887981171_1325859806	8282302_01_s3_02_trinityisland_p01_d.bytes	6141	1254
10014840101098242113_3780780039	82211211_s2_03_52301_p01_d.bytes	6469	1386
10017260164882949618_2738592156	1051103_03_s3_02_excavation_p02_d.bytes	10286	2148
10023083060806325589_3713232452	8582312_01_sb_02_harbor_p01_n.bytes	7244	1447
10024142185310927947_3572914884	en0022_hard_2phase.bytes	2929	1077
10025093531757717791_554520202	8262304_01_s3_01_shanhaijingstreet_p02_d.bytes	9374	1969
10025099087225135687_2753814451	8291304_01_s3_boss_02_snowmountain_p01_d.bytes	7614	1875
10031865119468584059_717066257	sb_03_abandonedtunnel_p02_d.bytes	1536708	401999
10033885986475912438_4214606471	9320_000_01_sportscenter_p01_d_04.bytes	4109	1138
10034317764586369306_3391885477	8031101_01_s2_02_beach_p01_d.bytes	7710	1756
10035906226167322791_213213568	8363304_01_s3_trinitychurch_p02_n.bytes	2066	613
1004881713507202710_1185684937	6011104_eliminateraid_binah_street_light_hardcore.bytes	5018	1628
10049467183271912337_3696041785	206305_raid_perorozilla_indoor_extreme.bytes	9457	1304
10050555242196226510_4163491996	1131105_03_s3_01_slumpia_p02_d.bytes	6907	1308
10050652376353218168_1593583589	8081302_01_s3_02_hotsprings_p01_d.bytes	9850	1947
10053360742728850657_2056612653	en0010_eliminate_heavyarmor_hard.bytes	2166	786
1005557910363858276_713419014	8452310_01_sb_02_playground_p02_n.bytes	5266	1136
10057366450440360770_1125793058	258302_worldraid_perorozilla_indoor_hard_start3phase.bytes	9527	1306
10057407473313094990_2472173544	sb_03_subway_p01_n.bytes	1136276	322491
10057507781632577713_3904164630	6073401_eliminateraid_hod_indoor_elastic_normal_start2phase.bytes	5620	1622
10064238001120066072_2327239118	201105_raid_binah_street_extreme.bytes	5006	1617
10067078268984148150_3785598865	6102105_eliminateraid_hovercraft_outdoor_lightarmor_extreme.bytes	2880	1040
10071916071115000189_2999315520	charactertest_1.bytes	9727	1834
10072834981515563515_3609371973	1271105_02_s3_sb_02_trainroof_p01_d_nosidetrain.bytes	5732	1106
10078594164888650548_3208967266	32114_s3_boss_03_sweeperfactory_p01_d.bytes	10405	1670
10085082971767786707_2689962839	6062104_eliminateraid_perorozilla_outdoor_light_hardcore.bytes	9613	1308
10085320727833935504_42325860	6102205_eliminateraid_hovercraft_outdoor_heavyarmor_extreme.bytes	2880	1033
1009528807379359388_2135728649	6031405_eliminateraid_shirokuro_street_elasticarmor_extreme.bytes	2136	750
10106988164692891630_3707219780	6062204_eliminateraid_perorozilla_outdoor_heavy_hardcore.bytes	9613	1306
10108653828332698400_1771701646	255206_worldraid_binah_outdoor_insane_start2phase.bytes	3573	1323
10110704965584456944_2799698467	sb_01_hyakkiyakomatsuri_p02_d.bytes	1419592	376185
10110979922597253370_2192832435	1191104_04_s3_02_deserttrack_p01_d.bytes	6895	1329
10117094361245248941_1080893820	8334304_01_03_school_p03_d.bytes	5553	929
10117804192240300622_1549046027	rb_01_binah_p01_d.bytes	885496	266099
10118665075481912896_2350526155	204104_raid_hieronymus_street_hardcore_start2phase.bytes	1964	746
10125208969250772859_2036526637	1241105_02_s3_sb_02_trinityisland_p01_d.bytes	7295	1421
10126492459843226082_194748235	rb_02_en0008_p01_d_scenario02.bytes	990836	263133
